user,waktu,barang,review,rating
A***s,10/03/2023,pilus garuda renceng 20 pcs,"produk ori, pengiriman aman, seller fast respon, thanks seller",5
A***s,10/03/2023,Khong Guan Malkist Renceng isi 10 pcs,"produk ori, pengiriman aman, seller fast respon, thanks seller",5
A***s,10/03/2023,Keju cake box 12 pcs,"produk ori, pengiriman aman, seller fast respon, thanks seller",5
A***s,10/03/2023,Yupi Strawberry Kiss 120g ( 50pcs),"produk ori, pengiriman aman, seller fast respon, thanks seller",5
A***s,10/03/2023,Monde Bourbon Choco Pack 24gr x 10 pcs,"produk ori, pengiriman aman, seller fast respon, thanks seller",5
A***s,10/03/2023,Madurasa jeruk nipis box isi 12 sct,"produk ori, pengiriman aman, seller fast respon, thanks seller",5
A***s,10/03/2023,Hilo Thai Tea Renceng isi 10 sct,"pengiriman ok, produk ok",5
alfian,10/03/2023,Sirup Fres Classic Botol,packing rapi pengiriman cepat sesuai deskripsi,5
ummu,10/03/2023,Spix Mie Goreng Pack isi 20 pcs,,5
T***y,10/03/2023,Selamat Wafer 198gr,oke,5
T***y,10/03/2023,Roma Wafello 135gr,oke,5
K***a,10/03/2023,momogi box 20 pcs,👍,5
T***y,10/03/2023,so nice sosis toples isi 24 pcs,"termasuk langganan di sini, tapi ini dikasih expired yang 2 bulan aja ga ada",2
Irwan,10/03/2023,TOP Kopi Cappuccino Renceng isi 15sct,"respon cepat, packing rapi dan jasa pengiriman lambat",5
lilis,10/03/2023,Oishi Popcorn Pouch 100gr,"puas sekali,fast respon seller nya,cepet sampai barang nya, thanks seller,tokopedia dan kurir nya 👍👍🙏🙏",5
lilis,10/03/2023,Gulaku Pouch 750gr,"puas sekali,fast respon seller nya,cepet sampai barang nya, thanks seller,tokopedia dan kurir nya 👍👍🙏🙏",5
K***a,10/03/2023,tricks potato snack,produk dikemas aman n baik sekali.. ga ada barang yg remuk...semua sesuai pesanan juga.. ada komunikasi dari penjual kalo yg dipesan ga ada.. makasi banyak,5
K***a,10/03/2023,Plastik Boyo HD 1Kg,,5
K***a,10/03/2023,Nabati Ahh Box isi 10 pcs,,5
K***a,10/03/2023,Spix Soba Mie pack isi 20 pcs,produk dikemas baik sekali.. dtg sesuai pesanan.. makasi banyak..,5
Arnelly,10/03/2023,Pantene Shampoo Renceng,"Sudah langganan, selalu cepat. Terimakasih",5
Arnelly,10/03/2023,Head And Shoulders Shampoo Renceng,"Sudah langganan, selalu cepat. Terimakasih",5
Arnelly,10/03/2023,Tresemme Shampoo Renceng isi 12 sct,"Sudah langganan, selalu cepat. Terimakasih",5
Panji,10/03/2023,Sasa Santan Bubuk Renceng isi 12 sachet,pesanan sdh sampe dan diterima dengan baik trimakasih,5
E***s,10/03/2023,Nutrijell My Vla Sacet,Thankss kak ....,5
E***s,10/03/2023,nutrijell jelly powder ekonomis all variant 1box,,5
E***s,10/03/2023,Nutrijell Pudding,Thankss kak ....,5
Ambar,10/03/2023,Ultra milk cokelat 200ml dus isi 24 pcs,langsung kirim ga pake lama. mantappp,5
Agus,10/03/2023,beng beng drink renceng isi 10,"barang sudah sampai dengan selamat dan aman
barang bagus sesuai deskripsi di toko
recommended seller",5
Grace,10/03/2023,pilus garuda renceng 20 pcs,konsistensi pilus rumput laut keras,4
Widayat,10/03/2023,energen renceng 10 sachet,,5
Irwan,10/03/2023,TOP Kopi Cappuccino Renceng isi 15sct,"packing rapi, respon cepat and cepat sampai.",5
Thohir,10/03/2023,Indofood Saos Pedas Renceng isi 36 sct,mantap,5
Thohir,10/03/2023,Nutrisari Renceng isi 10 sct,mantul,5
J***o,10/03/2023,Quaker Oatmeal Instan 800gr,ok,5
m***a,10/03/2023,Nabati Bisvit Selimut Renceng pack isi 20 pcs,"fast respon. barang sesuai pesanan. terima kasih 🙏🏼
terima kasih juga utk free botol minumnya🙏🏼",5
m***a,10/03/2023,Oishi Popcorn Renceng isi 10 pcs,"fast respon. barang sesuai pesanan. terima kasih 🙏🏼
terima kasih juga utk free botol minumnya🙏🏼",5
m***a,10/03/2023,Hello Panda Biskuit Renceng isi 10 pcs,"fast respon. barang sesuai pesanan. terima kasih 🙏🏼
terima kasih juga utk free botol minumnya🙏🏼",5
m***a,10/03/2023,go potato biskuit kentang 20 pcs,"fast respon. barang sesuai pesanan. terima kasih 🙏🏼
terima kasih juga utk free botol minumnya🙏🏼",5
lilis,10/03/2023,"Kapal Api Mini 6,5g Renceng isi 10 sct",.,5
lilis,10/03/2023,Mama Suka Rumput Laut pack isi 2,p,5
S***n,10/03/2023,Ultra Jaya Teh Kotak Jasmine 300ml 1 Dus isi 24 pcs,"pas lagi banyak acara bulan bulan ini, bingung cari minuman dus dusan, akhirnya nemu dan coba beli disini sudah 2-3kali beli disini proses barang sampe pengiriman sangat cepat. bener bene memuaskan",5
Produkabe,10/03/2023,energen renceng 10 sachet,udah beberapa kali beli. makasih,5
W***i,10/03/2023,Chitato Renceng isi 10 pcs,next di cek lagi ya....,4
Harry,10/03/2023,monde egg roll 35gr 10pcs,"barang sesuai pesanan, respon bagus, packing bagus. trim",5
Sigit,10/03/2023,amh jahe merah renceng 12 pcs,panas nyegrak cocok pas musim hujan,5
a***a,10/03/2023,Hot Hot Pop (Permen Kaki) isi 25,,5
a***a,10/03/2023,so nice sosis toples isi 24 pcs,,5
Riza,10/03/2023,Nabati Wafer 130gr,mau beli kalo udah habiss,5
K***a,10/03/2023,Biskuit Marie Regal Renceng (isi 10 pcs),packaging aman..barang kondisi nya baik.. sesuai pesanan.. terima kasih,5
K***a,10/03/2023,biskitop vegetable and cheese stik,barang dtg lengkap n dlm kondisi baik.. exp date thn 2024.. thank u,5
K***a,10/03/2023,Nissin Mini Stick Merah Pack isi 10 pcs,barang dtg dgn kondisi baik.. packaging aman.. thank youu,5
K***a,10/03/2023,Glico Pocky Strawberry Mini 21gr,barang semua lengkap sesuai pesanan n dtg dlm kondisi baik.. thank u,5
Agus,10/03/2023,beng beng drink renceng isi 10,"barang sudah sampai dengan selamat dan aman
enak rasanya",5
W***T,10/03/2023,monde egg roll 35gr 10pcs,pengemasan bagus,5
T***y,10/03/2023,Selamat Wafer 198gr,sesuai pesanan,5
T***y,10/03/2023,Nabati Bisvit Selimut Renceng pack isi 20 pcs,sesuai pesanan,5
Riza,10/03/2023,Nabati Wafer 130gr,enak sekali puas pengen beli lagi,5
Ignatius,10/03/2023,amh jahe merah renceng 12 pcs,"sesuai pesanan, paking bagus , satu hari sampai  jos pokoknya",5
Widayat,10/03/2023,energen renceng 10 sachet,wow,5
Widayat,10/03/2023,Sidomuncul Susu Jahe Renceng isi 10 sct,gercep seller dan kurirnya maturswun,5
U***n,10/03/2023,Deka Crepes Box isi 12 pcs,"Pengirimannya cepat, packing aman, exp oktober 23, anakku suka rasa ini, tks",5
U***n,10/03/2023,Chiki Balls Renceng isi 10 pcs,"Pengirimannya cepat, packing aman, exp mei 23, tks",5
S***o,10/03/2023,Kacang Atom Gajah 500gr,proses dan pengirimannya cepat,5
Natalia,10/03/2023,monde egg roll 35gr 10pcs,"uenaaak rasanya.....
packing dengan dus, tanpa di bubble wrap, sisi terluar ada remuk2, tp masih ok lah....",5
Roodfoodie,10/03/2023,biskitop vegetable and cheese stik,Packing rapi pengiriman cepat thanks,5
H***I,10/03/2023,Tropicana Slim Gula Diabtx isi 80sct,Terima kasih barang sdh saya terima 🙏👍,5
Afiif,10/03/2023,Super Bubur Instan,,5
Visionary,10/03/2023,monde egg roll 35gr 10pcs,makasih paket sudah diterima dgn baik dan packing aman,5
S***n,10/03/2023,Ultra Jaya Teh Kotak Jasmine 300ml 1 Dus isi 24 pcs,proses pengiriman sangat cepat 👍👍👍,5
Agung,10/03/2023,Nescafe Classic Renceng isi 10 sct,ok,5
Ana,10/03/2023,Cha Cha Renceng isi 10 sct,,5
Ana,10/03/2023,Garuda Rosta Renceng isi 10 pcs,,5
Ana,10/03/2023,Dilan Chocolate Mini Pack isi 25 pcs,,5
Ana,10/03/2023,Dilan Choco Crunchy Toples isi 25 pcs,,5
A***s,10/03/2023,Oreo Mini Box isi 10 pcs,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,Nabati Wafer Cokelat Kelapa 18gr box isi 12 pcs,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,Khong Guan Malkist Renceng isi 10 pcs,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,Gery Krekers Beras pack isi 10 sct,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,Nextar Box isi 10 pcs,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,pilus garuda renceng 20 pcs,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,Simba Choco Chip Renceng isi 10 pcs,"respon seller cpt, brg ori, packing ok, pengiriman cpt. thanks",5
A***s,10/03/2023,Bedak Salicyl Menthol Gajah,"respon seller cpt. wkt brg ga ada, lgsg info. mantap. thanks ya",5
A***s,10/03/2023,Astor single box 12pcs,"respon seller cpt. wkt brg ga ada, lgsg info. mantap. thanks ya",5
N***a,10/03/2023,gery chocolatos isi 24,"oke, sudah dimakan habis, tidak ada masalah dengan produk",5
N***a,10/03/2023,monde egg roll 35gr 10pcs,"oke, sudah dimakan habis, tidak ada masalah dengan produk",5
Hendro,10/03/2023,Khong Guan Classic Chocolate Wafer 350gr,pesanan wafer Khong Guan cepat sampai ke tempat tujuan dengan harga yang terjangkau murah kualitas bagus terjamin enak rasanya renyah kurir ramah ok trims seller,5
lilis,10/03/2023,gulaku 1kg,"manthul...👍👍 puas semuanya...sering banget belanja di sini..hasilnya pasti puas banget 👍👍 thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
lilis,10/03/2023,Tong Tji Teh Melati celup 25s,"manthul...👍👍 puas semuanya...sering banget belanja di sini..hasilnya pasti puas banget 👍👍 thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
Catur,10/03/2023,Oishi Popcorn Pouch 100gr,"Pesanan sesuai deskripsi,packing aman,terimakasih",5
Stefan,10/03/2023,Ultra Jaya Teh Kotak Jasmine 300ml 1 Dus isi 24 pcs,"mantap, penjual responsif ketika dichat. proses pesanan hingga pengiriman sangat cepat.. top banget",5
B***u,10/03/2023,Ultra milk cokelat 200ml dus isi 24 pcs,"seller top bgt, ekspedisi pengiriman ga top.",4
Natalia,10/03/2023,monde egg roll 35gr 10pcs,"proses cepat, langsung dikirim hari itu.... packing aman dengan dus.... 
rasa super enak....",5
Natalia,10/03/2023,monde egg roll 35gr 10pcs,"enak.... kesukaan anak2....
packing dus dan tiba dengan aman.... sedikit remuk wajar lah...",5
lilis,10/03/2023,Oishi Popcorn Pouch 100gr,"puas  sekali 👍👍 thanks seller,tokopedia dan kurirnya  👍👍🙏🙏🙏",5
lilis,10/03/2023,Indomie Kuah,"puas  sekali 👍👍 thanks seller,tokopedia dan kurirnya  👍👍🙏🙏🙏",5
lilis,10/03/2023,Mama Lemon Stain Remover Pouch 500gr,"puas  sekali 👍👍 thanks seller,tokopedia dan kurirnya  👍👍🙏🙏🙏",5
Sirojul,10/03/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"Barang dikirim sesuai pesanan, packing rapi dan aman, selamat sampai tujuan. Terima kasih seller.",5
Sirojul,10/03/2023,Rinso Cair 1.000 Renceng isi 6sct,"Barang dikirim sesuai pesanan, packing rapi dan aman, selamat sampai tujuan. Terima kasih seller.",5
Sirojul,10/03/2023,Downy 500 Renceng isi 12 sct,"Barang dikirim sesuai pesanan, packing rapi dan aman, selamat sampai tujuan. Terima kasih seller.",5
Freeya,10/03/2023,kalpa wafer kelapa box,"Packing rapi, pesanan sampai tujuan dg aman, Terimakasih.",5
Freeya,10/03/2023,good day 3 in 1 rtg 10 sct,"Packing rapi, pesanan sampai tujuan dg aman, Terimakasih.",5
Freeya,10/03/2023,Milkita Lolipop Renceng isi 36,"Packing rapi, pesanan sampai tujuan dg aman, Terimakasih.",5
Freeya,10/03/2023,Gery Chocolatos 1.000 box isi 20 pcs,"Packing rapi, pesanan sampai tujuan dg aman, Terimakasih.",5
MUSLIH,10/03/2023,Khong Guan Classic Chocolate Wafer 350gr,"Paket udh d terima sesuai pesanan, pengiriman cepat.",5
MUSLIH,10/03/2023,roma biskuit kelapa,"Paket udh d terima sesuai pesanan, pengiriman cepat.",5
H***u,10/03/2023,energen renceng 10 sachet,sangat memuaskan.,5
H***u,10/03/2023,Khong Guan Saltcheese,sangat memuaskan.,5
H***u,10/03/2023,beng beng drink renceng isi 10,sangat memuaskan.,5
H***u,10/03/2023,Kopiko Coffee Candy Bag 175 gr,sangat memuaskan.,5
H***u,10/03/2023,Oreo Roll,sangat memuaskan.,5
H***u,10/03/2023,Oreo Mini Box isi 10 pcs,sangat memuaskan.,5
H***u,10/03/2023,Sidomuncul Susu Jahe Renceng isi 10 sct,sangat memuaskan.,5
H***u,10/03/2023,milo renceng 22 gr,sangat memuaskan.,5
H***u,10/03/2023,Hilo Thai Tea Renceng isi 10 sct,sangat memuaskan.,5
H***u,10/03/2023,Anget Sari Susu Jahe Renceng isi 10,sangat memuaskan.,5
S***s,10/03/2023,Sarimi Gelas Renceng isi 10 pcs,"Barang sesuai. 
Cuman kurirnya aja yg entar entar aja.",5
P***y,10/03/2023,gery saluut coconut roll box isi 24 pcs,mantap,5
P***y,10/03/2023,Garuda O'Corn Sea Salt 80gr,mantap,5
Nurhalimah,10/03/2023,good day cappucino renceng 10 sachet,"packing rapi aman sampai tujuan, Terimakasih",5
P***y,10/03/2023,Serena Troy Biskuit,mantap,5
LUTFI,10/03/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"udah 2 kali belanja disini, cukup puas",5
m***a,10/03/2023,Khong Guan Saltcheese Pocket 100gr,cepet bangett. top langganan pokoke,5
Catur,10/03/2023,indocafe coffeemix renceng,"packing rapi,sampai tujuan dengan aman,terimakasih",5
Visionary,10/03/2023,monde egg roll 35gr 10pcs,makasih paket sudah diterima dgn baik dan packing aman,5
A***s,10/03/2023,Regal Duo Mini Pack isi 12 pcs,"sesuai pesanan, pengiriman cpt, pelayanan ok. terima kasih seller",5
A***s,10/03/2023,Nissin Lemonia 20gr Pack isi 10 sct,"sesuai pesanan, pengiriman cpt, pelayanan ok. terima kasih seller",5
A***s,10/03/2023,kalpa wafer kelapa box,"sesuai pesanan, pengiriman cpt, pelayanan ok. terima kasih seller",5
A***s,10/03/2023,Kobe Makroni Bon Cabe 150gr,"sesuai pesanan, pengiriman cpt, pelayanan ok. terima kasih seller",5
A***s,10/03/2023,Nabati Wafer Box isi 20 pcs,"sesuai pesanan, pengiriman cpt, pelayanan ok. terima kasih seller",5
A***s,10/03/2023,Garuda Rosta Renceng isi 10 pcs,"sesuai pesanan, pengiriman cpt, pelayanan ok. terima kasih seller",5
A***s,10/03/2023,pilus garuda renceng 20 pcs,"sesuai pesanan, sehari nyampe,produk ok semuav",5
Budi,10/03/2023,Hydro Coco 250ml Dus isi 24 pcs,sesuai pesanan,5
A***r,10/03/2023,Quaker 200gr,maaf telat kasih nilai,5
S***i,10/03/2023,TOP Wafer Krim 300gr,"pembelian kedua ditoko ini, pertama beli Energen dll, Energen nya bau gak enak padahal exp masih lama, ok dimaafkan, trs skrg beli wafer exp msh lama, tapi dalamnya bolong2 kyk nya semut masuk, sepertinya penjual ceroboh dalam menyimpan barang dagangan apalagi ini produk makanan, di chat jg TDK ada respon. so intinya kecewa. padahal packing rapi dan pengiriman cepat. penjual harus bisa jadi bahan koreksi ini. krna produk makanan hrs bner2 diperhatikan. jika rusak maka tidak bisa di konsumsi. thx",1
N***r,10/03/2023,Nextar Gandumku Coklat Pack isi 10 sct,"judulnya nextar gandum, yg dikirim malah nextar noir",2
R***t,10/03/2023,Chiki Balls Renceng isi 10 pcs,,4
R***t,10/03/2023,Nutrisari W'dank Bajigur Renceng isi 10 sct,,5
T***u,10/03/2023,monde egg roll 35gr 10pcs,"Mantap, packing aman, rapi, rasanya endolita❤️",5
E***s,10/03/2023,Torabika Creamy Latte Renceng isi 10sct,"Thanks kak, Sesuai pesanan ,Mantul dah",5
E***s,10/03/2023,Close Up Green Pasta Gigi 160gr,"Thanks kak, Sesuai pesanan ,Mantul dah",5
E***s,10/03/2023,Indofood sambal fried chicken renceng isi 24 sct,"Thanks kak, Sesuai pesanan ,Mantul dah",5
lilis,10/03/2023,Garuda Ting-Ting permen bag isi 50pcs,"puas sekali 👍thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
lilis,10/03/2023,Sun Kara Santan 65 ml,"puas sekali 👍thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
R***t,10/03/2023,Chitato Renceng isi 10 pcs,4 bulan lagi expired....,4
R***t,10/03/2023,Kopiko Coffee Candy Blister 32gr,,5
Ana,10/03/2023,Milku Susu Botol pack isi 12 botol,Terimakasih...,5
t***o,10/03/2023,Simba Choco Chip Renceng isi 10 pcs,terima kasih,5
t***o,10/03/2023,Finna Sambel Terasi Uleg Renteng isi 10 sct,terima kasih,5
N***g,10/03/2023,Nuvo hand sanitizer 50ml gel,"ajiib, asli",5
Emantri,10/03/2023,Roma Better Sandwich Biscuit Renceng isi 10 pcs,mantap,5
Emantri,10/03/2023,Khong Guan Saltcheese Combo Renceng isi 10,mantap,5
Emantri,10/03/2023,pilus garuda renceng 20 pcs,mantap,5
A***E,10/03/2023,Pop Ice Minuman Serbuk renceng isi 10 sct,TerimaKasih,5
atik,10/03/2023,Gery Saluut Malkist Renceng isi 10,"Snack favorit.. nggak kemanisan, biskuitnya renyah, byk pilihan varian rasa",5
atik,10/03/2023,Dilan Choco Crunchy Toples isi 25 pcs,"Coklatnya enak, nggak eneg, caramelnya nggak nyangkut di gigi",5
atik,10/03/2023,mie gemez enaak,"Snack mie yang rasanya gurih, nggak keasinan, dan nggak membosankan",5
atik,10/03/2023,padimas cream cake 10 pcs,"Fast response, good service, save package. Salah satu snack cake favorit, ringan, empuk, nggak eneg, dan bikin nagih",5
atik,10/03/2023,Dilan Chocolate Mini Pack isi 25 pcs,"Fast response, good service, save package. Coklatnya enak nggak eneg, caramel nya nggak nyangkut di gigi",5
lilis,10/03/2023,alba pastiles,"puas sekali belanja di sini 👍👍...fast respon sellernya, thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
lilis,10/03/2023,Kopiko Coffee Candy Bag 175 gr,"puas sekali belanja di sini 👍👍...fast respon sellernya, thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
lilis,10/03/2023,Cha Cha Renceng isi 10 sct,"puas sekali belanja di sini 👍👍...fast respon sellernya, thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
lilis,10/03/2023,Garuda Ting-Ting permen bag isi 50pcs,"puas sekali belanja di sini 👍👍...fast respon sellernya, thanks seller,tokopedia dan kurirnya 👍👍🙏🙏",5
Laely,10/03/2023,Mie Sedaap Goreng,"pengiriman cepat, pengemasan rapi, barang sampai dengan selamat, exp. date aman, adminnya responsif, terima kasih 👍",5
Laely,10/03/2023,Nabati Wafer 130gr,"pengiriman cepat, pengemasan rapi, barang sampai dengan selamat, adminnya responsif, terima kasih 👍",5
Laely,10/03/2023,Kopiko Coffee Candy Blister 32gr,beli ini gara² vincenzo 😭,5
F***i,10/03/2023,Relaxa Candy Bag isi 50pcs,beli disini dijamin puas,5
Laely,10/03/2023,Softex Daun Sirih Pembalut 3in1,"pengiriman cepat, pengemasan rapi, barang sampai dengan selamat, adminnya responsif, terima kasih 👍",5
Laely,10/03/2023,sidomuncul vitamin c 1000 mg orange box 6s,"pengiriman cepat, pengemasan rapi, sampai dengan selamat, exp. date aman, adminnya responsif, terima kasih 👍",5
Yunita,10/03/2023,Tong Tji Teh Melati celup 25s,mantapp👍🏻👍🏻👍🏻 barang ori😍😍😍 murmer,5
Yunita,10/03/2023,abc kopi susu renceng,mantap👍🏻 selalu suka order di sini.. udah dua kali dan memuaskan.❤️‍🔥❤️‍🔥,5
Freeya,10/03/2023,Khong Guan Classic Chocolate Wafer 350gr,"Pesanan sudah sampai, Terimakasih",5
Rani,10/03/2023,Sarimi Gelas Renceng isi 10 pcs,"murah, enak, produk terlindungi terjaga",5
Rani,10/03/2023,Nissin Biskuit Kering 300gr,"produk original kualitas ok, packing aman",5
Rani,10/03/2023,Mentos Bag isi 50 pcs,ok. packing aman,5
Rani,10/03/2023,Biskuat 1.000 Pack isi 20 pcs,"ok, sesuai deskripsi",5
lilis,10/03/2023,Gery Saluut Malkist,"puas belanja di sini...👍👍 fast respon seller nya,packing aman, cepet sampai 👍👍",5
lilis,10/03/2023,gulaku 1kg,"puas belanja di sini...👍👍 fast respon seller nya,packing aman, cepet sampai 👍👍",5
lilis,10/03/2023,Rexona Women 50gr,"puas belanja di sini...👍👍 fast respon seller nya,packing aman, cepet sampai 👍👍",5
lilis,10/03/2023,Harpic Power Plus Original 200ml,"puas belanja di sini...👍👍 fast respon seller nya,packing aman, cepet sampai 👍👍",5
sinka,10/03/2023,Nabati Ahh Box isi 20,thnks kk pesanan saya sudah sampai. next order lagi ya.,5
sinka,10/03/2023,Nabati siip box 20s,thnks kk pesanan saya sudah sampai. next order lagi ya.,5
sinka,10/03/2023,Nabati Bisvit Selimut Renceng pack isi 20 pcs,thnks kk pesanan saya sudah sampai. next order lagi ya.,5
Visionary,10/03/2023,monde egg roll 35gr 10pcs,makasih paket sudah diterima dgn baik dan packing aman,5
C***a,10/03/2023,Jas Jus Renceng isi 10 sct,respon penjual cepat👌 recommended seller👍 terimakasih🙏,5
C***a,10/03/2023,Sarimi Gelas Renceng isi 10 pcs,respon penjual cepat👌 recommended seller👍 terimakasih🙏,5
Nurul,10/03/2023,TOP Delfi box isi 24 pcs,"pengiriman nya cepet banget, terimakasih seller ❤️",5
Muhammad,10/03/2023,Garuda O'corn / Popcorn Instan Manis Gurih 80gr,"fast respon dan enak, tapi saya kalo masak gosong terus....hdeh",5
Budi,10/03/2023,Khong Guan Classic Milk Marie 375gr,"Proses cepat, paking rapi dan sangat aman; kardusnya tebal. Tgl exp jg aman.",5
Yolanda,10/03/2023,alba pastiles,Good product,5
lilis,10/03/2023,Wipol Sereh Dan Jeruk 5.000,"jempol 👍👍 semua nya  mantul....thanks seller,tokopedia dan kurir nya  👍👍🙏🙏",5
lilis,10/03/2023,Lux Body Wash 5000,"jempol 👍👍 semua nya  mantul....thanks seller,tokopedia dan kurir nya  👍👍🙏🙏",5
lilis,10/03/2023,Tong Tji Teh Melati celup 25s,"jempol 👍👍 semua nya  mantul....thanks seller,tokopedia dan kurir nya  👍👍🙏🙏",5
M***a,10/03/2023,Gery Saluut Wafer box isi 24 pcs,melempem,3
Maria,10/03/2023,Oreo box isi 12 sct,melempem,3
Sukamat,10/03/2023,Plastik Boyo HD 1Kg,"Pastik merk Boyo ukuran 1 kg, sesuai deskripsi. Pengiriman cepat",5
Sukamat,10/03/2023,Rinso Anti Noda 5.000,"Rinsonya bagus sesuai deskripsi, kemasan bagus dan aman. Pengir9man cepat",5
W***u,10/03/2023,Khong Guan Classic Milk Marie 375gr,Enak yey,5
W***u,10/03/2023,Serena Klik Crackers Renceng isi 20 pcs,Enak yey,5
A***i,10/03/2023,Milku Susu Botol pack isi 12 botol,pembelian yg kesekian kalinya,5
wildaaa,10/03/2023,Garuda Ting-Ting permen bag isi 50pcs,oke,4
wildaaa,10/03/2023,Inaco jelly 5,oke,5
M***m,10/03/2023,gudang garam surya 12,"Seller gercep
Produk Oke
Best seller dech",5
S***i,10/03/2023,Telur Ayam Curah Kiloan,nice,5
S***i,10/03/2023,Indomie Kuah,good,5
Sari,10/03/2023,indomie goreng special,likes,5
Ana,10/03/2023,Smax Ring Cheese Renceng,brng kosong,1
Ana,10/03/2023,Dilan Choco Crunchy Toples isi 25 pcs,brng kosong,1
Freeya,10/03/2023,Tim Tam Maxi Biskuit Box isi 12,"Pesanan sudah sampai, Terimakasih",5
Freeya,10/03/2023,so nice sosis toples isi 24 pcs,"Pesanan sudah sampai, Terimakasih",5
Freeya,10/03/2023,Mie Gelas Renceng isi 10 pcs,"Pesanan sudah sampai, Terimakasih",5
s***n,10/03/2023,bay fresh hang n go,"mantabb, barang sesuai n packing joss, rekomended",5
p***a,10/03/2023,Nabati Ahh Box isi 10 pcs,"minta yang isi 10 di kasih yang isi 20. kecil2 banget, mau kirim foto di upload gagal terus",3
T***y,10/03/2023,Selamat Wafer 198gr,Good 👍🏻,5
T***y,10/03/2023,Nabati Bisvit Selimut Renceng pack isi 20 pcs,Good 👍🏻,5
T***y,10/03/2023,Roma Wafello Renceng isi 10 sct,Good 👍🏻,5
dono,10/03/2023,bay fresh hang n go,Wanginya awet dan tahan lama Parfumnya cocok sekali untuk sehari-hari berkendara Wanginya enak dan banyak pilihan varian Produknya recommended dan berkualitas!,5
D***a,10/03/2023,Chitato Renceng isi 10 pcs,"Oackingnya rapih pakai dus, pengirimannya standar gk lama bgt, cuma oengenasannya ajanyg lama",5
sarah,10/03/2023,Susu Milkido Dus isi 12 botol x 200ml,top bgt,5
sarah,10/03/2023,oreo soft cake bolu 12 pcs,top markotop,5
sarah,10/03/2023,indomie goreng dus isi 40,mantep...,5
Freeya,10/03/2023,Gery Saluut Wafer box isi 24 pcs,"Pesanan sudah sampai, Terimakasih",5
Andhika,10/03/2023,Stella Smart Matic Set Alat + Reffil,Produk Ok banget. sesuai harapan. 😊,5
Fransiska,10/03/2023,Nissin Cheese Snack,Makasih kk,5
Fransiska,10/03/2023,Nissin Biskuit Kering 300gr,Makasih kk,5
Fransiska,10/03/2023,Nissin Biskuit Kering Rasa Kopi 300gr,Makasih kk,5
ikin,10/03/2023,Nutrisari W'dank Bajigur Renceng isi 10 sct,"pesanan sampai dalam waktu singkat, mksh seller yang amanah,moga sukses ya.,",5
lilis,10/03/2023,Indomie Kuah,"top banget...pasti the best...thanks seller,tokopedia  dan kurir nya 👍👍🙏🙏",5
lilis,10/03/2023,Kraft Cheddar 165gr,"top banget...pasti the best...thanks seller,tokopedia  dan kurir nya 👍👍🙏🙏",5
Lincoln,10/03/2023,Khong Guan Classic Milk Marie 375gr,"responsif, packing aman , cepat sampai",5
Arisfian,10/03/2023,Silver Queen Chunky Jar 33gr Toples isi 12 pcs,Oke,5
Ana,10/03/2023,Dilan Choco Crunchy Toples isi 25 pcs,,5
Ana,10/03/2023,Garuda Rosta Renceng isi 10 pcs,,5
Ana,10/03/2023,Oreo Mini Box isi 10 pcs,,5
Ninik,10/03/2023,Nissin Biskuit Kering 300gr,"cepat datangnya,kuenya enak,ada diskon lagi.mantap",5
Ninik,10/03/2023,Biskuit Marie Regal Renceng (isi 10 pcs),"enak,cepat datangnya",5
Vega,10/03/2023,yupi bolicious box 24 pcs,"Pesen lychee 3, anggur 1 tapi dikirmnya rasa macem2",5
hanaaishsalma,10/03/2023,Tolak Linu Box isi 5 sct,"mksh kak, pesan kemarin mgrib hari ini dah sampai",5
Muhamad,10/03/2023,Super Bubur Buryam Renceng isi 10 sct,sat set sellerny.. suwun,5
Oey,10/03/2023,Deka Crepes Box isi 12 pcs,"belum dicoba,baru aja dtng",5
Oey,10/03/2023,Deka Crepes Box isi 12 pcs,belum dimakan bsru aja tiba,5
a***i,10/03/2023,gery saluut coconut roll box isi 24 pcs,produk sesuai.. penjual juga respon cepet.. kurirnya baik. hujan² tetap di anterin,5
a***i,10/03/2023,Nabati Wafer Cokelat Kelapa 18gr box isi 12 pcs,pelayanan toko memuas kan.. produk sesuai dengan pesanan .. kurirnya baik bgt dah mau anter walau hujan²,5
