user,waktu,barang,review,rating
A***s,04/03/2024,TOP Delfi box isi 24 pcs,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Koko Krunch Cereal Renceng isi 10 pcs,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Gery Saluut Malkist Renceng isi 10,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Frisian Flag Kompleta Renceng isi 10 sct,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Nabati siip box 20s,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Tic Tac Snack Pilus 90gr,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Cha Cha Renceng isi 10 sct,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,abc kopi susu renceng,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Gery Krekers Beras pack isi 10 sct,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,Nabati Roll's Box isi 20 pcs,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***s,04/03/2024,tricks potato snack,"sering belanja disini. kalau barang kosong, pasti konfirmasi. ganti barang serupa. thanks seller",5
A***A,03/02/2024,ultra milk cokelat 200ml,"Barang sampai dengan baik, pengiriman cepat",5
E***s,03/02/2024,Nestle Carnation 495gr,thanks kak Mantapp 👍👍👍,5
E***s,03/02/2024,Nutrisari Renceng isi 10 sct,"thanks kk, Mantapp 👍👍👍",5
Noor,03/02/2024,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),tiap bulan dapat hadiah dari toko pedia seneng banget.  seller juga baik cepat dan paking rapi,5
harna,03/02/2024,Indomilk Botol 190ml,"respon oke, produk oke, harga okehhh. 😄",5
s***h,03/02/2024,Rinso Anti Noda Bubuk 10.000,ok,5
sutiyah,03/02/2024,Lux Body Wash 5000,ok,5
R***i,03/02/2024,Nextar Gandumku Coklat Pack isi 10 sct,,5
R***i,03/02/2024,Khong Guan Superco Renceng isi 10 pcs,,5
L***a,03/02/2024,Nissin Biskuit Kering 300gr,"Barang sudah diterima dengan baik
Packingannya rapi apalagi dibungkus didalam kardus, jadi lebih aman. 
Thanks seller",5
n***r,03/02/2024,Koyo Cabe isi 10 lembar,sampai ...bagus..,5
I***n,03/02/2024,Strepsils Box isi 24 butir,👍🏻👍🏻🙏🙏,5
Ira,03/02/2024,Mie Gelas Renceng isi 10 pcs,belanja disini oke banget. penjualnya amanah. bisa dijasiin langganan. makasih bonusannya.,5
Ira,03/02/2024,sovia minyak goreng 1liter,belanja disini oke banget. penjualnya amanah. bisa dijasiin langganan. makasih bonusannya.,5
Ira,03/02/2024,Nabati siip box 20s,belanja disini oke banget. penjualnya amanah. bisa dijasiin langganan. makasih bonusannya.,5
Ira,03/02/2024,Beng beng maxx box,belanja disini oke banget. penjualnya amanah. bisa dijasiin langganan. makasih bonusannya.,5
Ira,03/02/2024,Nyam Nyam Fun Play Box isi 12 pcs,belanja disini oke banget. penjualnya amanah. bisa dijasiin langganan. makasih bonusannya.,5
